"Name","unique id"
"Heima Coffee","1726492319283x861992212439760900"
"That lad street food","1726508972391x752300216974049300"
"Ancoats","1726543781039x866543910554959900"
"High Town","1726666151675x861792576061833200"
"Palm Coffee","1726667452708x764235263433769000"
"Klaudja Kuqali","1726701647496x303274022626918400"
"Seymour Gardens","1726724233365x760497713407852500"
"AVIG Pax Birmingham","1726928413279x543756912668704800"
"Blue Boy Ice Cream ","1727092173329x415564180881408000"
"University of Mobile","1727116573515x836562479988080600"
"CFH","1727272404026x507125745644208100"
"Bernardo","1727350006065x626022609777328100"
"NOVANTA","1727696883226x801457313107148800"
"Port Solent","1727705444014x499917587408748540"
"Mark","1727728546533x175667695051079680"
"Markies Ltd","1727728695961x201379606518038530"
"Mitchell Soper","1728314725934x589109543438385200"
"THE FISH & CHIP SHOP","1728382841158x715269223755284500"
"Toeka","1728416419954x801677165994704900"
"Blackseed Catering & Cafe ","1728457832573x165297267758333950"
"https://rowanenerynorway.com","1728712767711x393335332042440700"
"Rookery","1729246551359x848119901958701000"
"Poly","1729761551746x330039644765290500"
"bibida","1729790735905x569127190294167550"
"Nagomi ","1730028268510x512634647196205060"
"Oyster","1730292365856x366580288271155200"
"Rialtos","1730564581790x360108654843658240"
"Crunch","1730985644791x527847032934629400"
"Elizabeth Yakubu","1731159415521x611935677281730600"
"Skylark","1731408421784x916982884212670500"
"Tea House","1733241601128x768535130585694200"
"Paddenswick","1733428448468x777661435716042800"
"Garden SHH","1733428929733x548168219338735600"
"Songbird","1733773590933x880766228246560800"
"Bakery","1733835741669x783661018048888800"
"n/a","1734364892059x591542747755708400"
"Bar & Grill","1735412150356x266818945778188300"
"EM","1735812461405x822830003112902700"
"Central","1736256335274x913219964319039500"
"The Pen Factory","1738925630512x705566411591516200"
"The Bridewell ","1738927326563x679732711420330000"
"The Denbigh","1738927390907x641107465748611100"
"Little Rook","1739460095327x264937256667054080"
"Joe's Test Site","1744234159039x769731979585781800"
"kollam","1746357547064x356395626679500800"
"Esteems","1746703232184x979860228487249900"
