"name","unique id"
"FOH Floor","1720017150446x381294819016704000"
"Management NQ","1720260216838x792027349592571900"
"Manager","1720520271054x180183392266485760"
"FOH","1721225211493x447416169718612000"
"Community Food Coordinator","1721382276176x852210542342045700"
"Team1","1722029377337x517276600168611840"
"Management","1722345781780x387896065746010100"
"Executive Chef","1722925389543x792271337943990300"
"ver","1723084855056x136251338307665920"
"Operations","1724517452351x392244206056243200"
"Pitzhanger Team","1724921243755x637321584373923800"
"REMOVE (arhived)","1724921622852x119516725637545980"
"Rehju","1725240374387x277927982090944500"
"abdullah","1725288701194x852176431045410800"
"Managment","1725388596338x364539196994486300"
"Director","1725522764288x543312701770432500"
"Victor","1725532686114x832604327043399700"
"Team all as one","1725554463832x186364192635486200"
"romans","1725742860954x370206697515909100"
"test team","1725878987709x299752929640316900"
"Bronco Bistro","1726071065779x416711879253557250"
"Foh team","1726143669460x131692695732617220"
"Foh Team","1726144127134x606925443265986600"
"Outseta team 1","1726149720638x751005303187177500"
"test team 2 ","1726240542009x629243026358927400"
"FOH","1726492319283x587411294194499600"
"That lad","1726508972391x251865873938645000"
"Management","1726667452708x701867095228416000"
"FOH","1726667658764x726744470150971400"
"BOH","1726667663577x989842235951939600"
"Klaudja Kuqali","1726701647496x719251308153929700"
"Support Services ","1726724233365x456410206724948000"
"FOH","1726928413279x975059876925407200"
"Blue Boy Ice Cream ","1727092173329x696818163577520100"
"Ram Nation","1727116573515x162002160910073860"
"KITCHEN","1727272404026x481768426599350300"
"Regional manager","1727350006065x284539608128552960"
"f&B","1727696883226x734099677811310600"
"Manage","1727705444014x322181548309479400"
"Genious","1727728546533x327010490857291800"
"Recruitment","1727728695961x389539439058878460"
"Francie's Management ","1727875269373x944032645759631400"
"Pasta Cosa Management","1727875348675x168446494667964400"
"Mitchell Soper","1728314725934x562791779057008640"
"MANAGEMENT","1728382841158x504671265953677300"
"Management Ancoats","1728398580667x618149275090550800"
"Management","1728416419954x684727337315729400"
"Owner/Operator","1728457832573x434615441827823600"
"HR Manager","1728712767711x493567944686567400"
"Rookery FOH","1729246768156x507376528834953200"
"Rookery BOH","1729246773287x324653410156544000"
"Poly Team","1729761551746x239702946162671600"
"bibida management ","1729790735905x436424400259514400"
"Management ","1730028268510x186124264262074370"
"Owner","1730292365856x205433455479619600"
"FOH & BOH","1730564581790x858703641263734800"
"Director","1730985644791x582495514976059400"
"Lizibeths haven ","1731159415521x233227373584580600"
"Skylark FOH","1731409251632x764718901028454400"
"Skylark BOH","1731409266015x556884487144210400"
"Skylark Management","1731409281399x707481552118349800"
"Tea House FOH","1733241624496x526649599551602700"
"Tea House BOH","1733241632311x751793676504006700"
"Tea House Management ","1733241639527x599841001558245400"
"Rookery Management ","1733241650695x423670778348175400"
"Pitzhanger Management ","1733241678598x535197805094109200"
"Paddenswick FOH","1733428469554x496527448161648640"
"Paddenswick BOH","1733428475437x161027373344751600"
"Paddenswick Management","1733428482039x800274904856395800"
"Garden FOH","1733428948134x673563393783234600"
"Garden BOH","1733428953437x863273594597146600"
"Garden Management ","1733429004465x672876626387664900"
"Songbird Team","1733773606570x883211093444132900"
"REMOVE (arhived)","1733773613904x742214375605010400"
"Songbird Management ","1733773623840x602484118298820600"
"Natalie's Team","1734364892059x692208071646904300"
"Sonia Reeves's Team","1735412150356x805721439868551200"
"James's Team","1735812461405x110931505383735300"
"Central Operations (arhived)","1736257494910x913058994498306000"
"Central Team","1736460202311x418161964318195700"
"Bakery Team","1736857376444x386883543456284700"
"Central Events Team","1736937096735x272218512301228030"
"Bakery Events team","1737463383537x268221282009481200"
"Management","1738925630512x931254369565802500"
"Kitchen Pen Factory","1738929512775x172642675015286800"
"FOH Pen Factory","1738929520679x379578121765781500"
"HR","1738929554010x513664942427078660"
"Little Rook Team","1739460110560x389225944004952060"
"tonys","1742850676590x439177006674346000"
"Joe Test's Team","1744234159039x123320024573673470"
"Thushar vijay's Team","1746357547064x430498697066577900"
"Jane Tinonas's Team","1746703232184x846822740768587800"
"Management","1751559767680x431202238703337500"
"Maintenance","1752274310446x619795656977154000"
